wl,k,n
0.1879,1.188,1.28
0.1916,1.203,1.32
0.1953,1.226,1.34
0.1993,1.251,1.33
0.2033,1.277,1.33
0.2073,1.304,1.3
0.2119,1.35,1.3
0.2164,1.387,1.3
0.2214,1.427,1.3
0.2262,1.46,1.31
0.2313,1.497,1.3
0.2371,1.536,1.32
0.2426,1.577,1.32
0.249,1.631,1.33
0.2551,1.688,1.33
0.2616,1.749,1.35
0.2689,1.803,1.38
0.2761,1.847,1.43
0.2844,1.869,1.47
0.2924,1.878,1.49
0.3009,1.889,1.53
0.3107,1.893,1.53
0.3204,1.898,1.54
0.3315,1.883,1.48
0.3425,1.871,1.48
0.3542,1.866,1.5
0.3679,1.895,1.48
0.3815,1.933,1.46
0.3974,1.952,1.47
0.4133,1.958,1.46
0.4305,1.948,1.45
0.4509,1.914,1.38
0.4714,1.849,1.31
0.4959,1.833,1.04
0.5209,2.081,0.62
0.5486,2.455,0.43
0.5821,2.863,0.29
0.6168,3.272,0.21
0.6595,3.697,0.14
0.7045,4.103,0.13
0.756,4.542,0.14
0.8211,5.083,0.16
0.892,5.663,0.17
0.984,6.35,0.22
1.088,7.15,0.27
1.216,8.145,0.35
1.393,9.519,0.43
1.61,11.21,0.56
1.937,13.78,0.92
